Predicted_Prob,Credit_Score,Score_Tier
0.7365203438153873,445,Very Poor
0.3954689253550751,632,Fair
0.08548181197553861,803,Exceptional
0.15340003736764163,766,Very Good
0.14130566399015795,772,Very Good
0.1807739662489408,751,Very Good
0.09038901079363627,800,Very Good
0.10340006515568956,793,Very Good
0.17436735955716925,754,Very Good
0.13704397384469894,775,Very Good
0.1690063760054954,757,Very Good
0.18074653756082174,751,Very Good
0.08803144179230647,802,Exceptional
0.4323691764850983,612,Fair
0.059030829414285065,818,Exceptional
0.2815166431876912,695,Good
0.4647049872834628,594,Fair
0.07873060275403675,807,Exceptional
0.4165815769789282,621,Fair
0.3512332726481767,657,Fair
0.07855491631809425,807,Exceptional
0.23659203894545722,720,Good
0.7774399645730813,422,Very Poor
0.08605283890025314,803,Exceptional
0.10397543934785267,793,Very Good
0.1379594174400175,774,Very Good
0.3699383297264699,647,Fair
0.10998800854402153,790,Very Good
0.15230657404034356,766,Very Good
0.11661241573312975,786,Very Good
0.06371036878611663,815,Exceptional
0.6425322384157656,497,Very Poor
0.11045871894615876,789,Very Good
0.07130258322796604,811,Exceptional
0.07488389487911093,809,Exceptional
0.08769145051654943,802,Exceptional
0.07391830416780994,809,Exceptional
0.1207334366237394,784,Very Good
0.27238883648019463,700,Good
0.1802081790437113,751,Very Good
0.07386547968261804,809,Exceptional
0.12667600105198804,780,Very Good
0.17099238419163534,756,Very Good
0.08977994630344886,801,Exceptional
0.23825165997404618,719,Good
0.28644614817631,692,Good
0.2355699213390653,720,Good
0.06597207862393263,814,Exceptional
0.05282684706827203,821,Exceptional
0.17487353831445748,754,Very Good
0.5184748008633651,565,Poor
0.07759625806602054,807,Exceptional
0.0707228812423967,811,Exceptional
0.26104666520690084,706,Good
0.5652137268664732,539,Poor
0.14578629009940042,770,Very Good
0.06646944795583073,813,Exceptional
0.12059816690318355,784,Very Good
0.521167503037157,563,Poor
0.11001361461729887,789,Very Good
0.05995801969236318,817,Exceptional
0.1639091161490009,760,Very Good
0.7972051442885291,412,Very Poor
0.15201752246631278,766,Very Good
0.2422309223501179,717,Good
0.3112323446772073,679,Good
0.7333878483383074,447,Very Poor
0.4029809716180662,628,Fair
0.20033014314855938,740,Good
0.2124860943391209,733,Good
0.2316130841510966,723,Good
0.7838315099634761,419,Very Poor
0.20642264570503857,736,Good
0.2064985590819399,736,Good
0.06553712584241546,814,Exceptional
